File 			 Kernel 			 Threads 			 Time(s)
4K/acdc.jpg		3				48				2.2661
4K/acdc.jpg		3				96				1.7921
4K/acdc.jpg		3				192				1.3384
4K/acdc.jpg		3				384				1.0538
4K/acdc.jpg		3				576				0.9154
4K/acdc.jpg		3				768				0.8530
4K/acdc.jpg		3				960				0.9234
4K/acdc.jpg		5				48				4.3159
4K/acdc.jpg		5				96				3.4594
4K/acdc.jpg		5				192				2.4107
4K/acdc.jpg		5				384				1.8556
4K/acdc.jpg		5				576				1.5169
4K/acdc.jpg		5				768				1.3610
4K/acdc.jpg		5				960				1.5483
4K/acdc.jpg		7				48				7.4462
4K/acdc.jpg		7				96				5.8856
4K/acdc.jpg		7				192				4.0020
4K/acdc.jpg		7				384				3.0468
4K/acdc.jpg		7				576				2.4286
4K/acdc.jpg		7				768				2.1351
4K/acdc.jpg		7				960				2.4967
4K/acdc.jpg		9				48				11.5481
4K/acdc.jpg		9				96				9.1576
4K/acdc.jpg		9				192				6.1070
4K/acdc.jpg		9				384				4.6352
4K/acdc.jpg		9				576				3.6297
4K/acdc.jpg		9				768				3.1588
4K/acdc.jpg		9				960				3.7735
4K/acdc.jpg		11				48				16.6517
4K/acdc.jpg		11				96				13.2988
4K/acdc.jpg		11				192				8.6871
4K/acdc.jpg		11				384				6.6249
4K/acdc.jpg		11				576				5.1402
4K/acdc.jpg		11				768				4.4308
4K/acdc.jpg		11				960				5.3514
4K/acdc.jpg		13				48				22.9651
4K/acdc.jpg		13				96				18.1986
4K/acdc.jpg		13				192				11.7273
4K/acdc.jpg		13				384				8.9960
4K/acdc.jpg		13				576				6.9398
4K/acdc.jpg		13				768				5.9569
4K/acdc.jpg		13				960				7.2472
4K/acdc.jpg		15				48				30.6635
4K/acdc.jpg		15				96				23.8405
4K/acdc.jpg		15				192				15.2455
4K/acdc.jpg		15				384				11.7673
4K/acdc.jpg		15				576				9.0524
4K/acdc.jpg		15				768				7.7518
4K/acdc.jpg		15				960				9.4778
4K/breakingbad.jpg		3				48				2.1822
4K/breakingbad.jpg		3				96				1.7995
4K/breakingbad.jpg		3				192				1.3456
4K/breakingbad.jpg		3				384				1.0622
4K/breakingbad.jpg		3				576				0.9221
4K/breakingbad.jpg		3				768				0.8616
4K/breakingbad.jpg		3				960				0.9277
4K/breakingbad.jpg		5				48				4.3215
4K/breakingbad.jpg		5				96				3.4684
4K/breakingbad.jpg		5				192				2.4219
4K/breakingbad.jpg		5				384				1.8632
4K/breakingbad.jpg		5				576				1.5268
4K/breakingbad.jpg		5				768				1.3699
4K/breakingbad.jpg		5				960				1.5559
4K/breakingbad.jpg		7				48				7.4835
4K/breakingbad.jpg		7				96				5.8978
4K/breakingbad.jpg		7				192				4.0500
4K/breakingbad.jpg		7				384				3.0573
4K/breakingbad.jpg		7				576				2.4384
4K/breakingbad.jpg		7				768				2.1375
4K/breakingbad.jpg		7				960				2.5089
4K/breakingbad.jpg		9				48				11.5630
4K/breakingbad.jpg		9				96				9.1675
4K/breakingbad.jpg		9				192				6.1119
4K/breakingbad.jpg		9				384				4.6440
4K/breakingbad.jpg		9				576				3.6495
4K/breakingbad.jpg		9				768				3.2744
4K/breakingbad.jpg		9				960				3.7783
4K/breakingbad.jpg		11				48				16.6623
4K/breakingbad.jpg		11				96				13.3080
4K/breakingbad.jpg		11				192				8.6976
4K/breakingbad.jpg		11				384				6.6312
4K/breakingbad.jpg		11				576				5.1478
4K/breakingbad.jpg		11				768				4.4447
4K/breakingbad.jpg		11				960				5.3592
4K/breakingbad.jpg		13				48				22.9764
4K/breakingbad.jpg		13				96				18.2085
4K/breakingbad.jpg		13				192				11.7337
4K/breakingbad.jpg		13				384				9.0012
4K/breakingbad.jpg		13				576				6.9468
4K/breakingbad.jpg		13				768				5.9631
4K/breakingbad.jpg		13				960				7.2581
4K/breakingbad.jpg		15				48				30.6612
4K/breakingbad.jpg		15				96				23.8492
4K/breakingbad.jpg		15				192				15.2436
4K/breakingbad.jpg		15				384				11.7771
4K/breakingbad.jpg		15				576				9.0589
4K/breakingbad.jpg		15				768				7.7574
4K/breakingbad.jpg		15				960				9.4849
4K/Enigma.jpg		3				48				2.3114
4K/Enigma.jpg		3				96				1.9124
4K/Enigma.jpg		3				192				1.4324
4K/Enigma.jpg		3				384				1.1274
4K/Enigma.jpg		3				576				0.9752
4K/Enigma.jpg		3				768				0.9124
4K/Enigma.jpg		3				960				0.9830
4K/Enigma.jpg		5				48				4.6027
4K/Enigma.jpg		5				96				3.6936
4K/Enigma.jpg		5				192				2.5879
4K/Enigma.jpg		5				384				1.9814
4K/Enigma.jpg		5				576				1.6228
4K/Enigma.jpg		5				768				1.4566
4K/Enigma.jpg		5				960				1.6550
4K/Enigma.jpg		7				48				7.9488
4K/Enigma.jpg		7				96				6.2904
4K/Enigma.jpg		7				192				4.2794
4K/Enigma.jpg		7				384				3.2520
4K/Enigma.jpg		7				576				2.5933
4K/Enigma.jpg		7				768				2.2744
4K/Enigma.jpg		7				960				2.6677
4K/Enigma.jpg		9				48				12.3314
4K/Enigma.jpg		9				96				9.8055
4K/Enigma.jpg		9				192				6.5122
4K/Enigma.jpg		9				384				4.9447
4K/Enigma.jpg		9				576				3.8732
4K/Enigma.jpg		9				768				3.3745
4K/Enigma.jpg		9				960				4.0270
4K/Enigma.jpg		11				48				17.8316
4K/Enigma.jpg		11				96				14.2110
4K/Enigma.jpg		11				192				9.2648
4K/Enigma.jpg		11				384				7.0671
4K/Enigma.jpg		11				576				5.4865
4K/Enigma.jpg		11				768				4.7365
4K/Enigma.jpg		11				960				5.7131
4K/Enigma.jpg		13				48				24.6959
4K/Enigma.jpg		13				96				19.4216
4K/Enigma.jpg		13				192				12.5081
4K/Enigma.jpg		13				384				9.6379
4K/Enigma.jpg		13				576				7.4131
4K/Enigma.jpg		13				768				6.3703
4K/Enigma.jpg		13				960				7.7351
4K/Enigma.jpg		15				48				32.8680
4K/Enigma.jpg		15				96				25.4315
4K/Enigma.jpg		15				192				16.2800
4K/Enigma.jpg		15				384				12.5735
4K/Enigma.jpg		15				576				9.6613
4K/Enigma.jpg		15				768				8.2836
4K/Enigma.jpg		15				960				10.1112
4K/Gears.jpg		3				48				2.3685
4K/Gears.jpg		3				96				1.9704
4K/Gears.jpg		3				192				1.4848
4K/Gears.jpg		3				384				1.1837
4K/Gears.jpg		3				576				1.0352
4K/Gears.jpg		3				768				0.9687
4K/Gears.jpg		3				960				1.0414
4K/Gears.jpg		5				48				4.6605
4K/Gears.jpg		5				96				3.7527
4K/Gears.jpg		5				192				2.6404
4K/Gears.jpg		5				384				2.0350
4K/Gears.jpg		5				576				1.6801
4K/Gears.jpg		5				768				1.5124
4K/Gears.jpg		5				960				1.7103
4K/Gears.jpg		7				48				8.0043
4K/Gears.jpg		7				96				6.3461
4K/Gears.jpg		7				192				4.3347
4K/Gears.jpg		7				384				3.3075
4K/Gears.jpg		7				576				2.6466
4K/Gears.jpg		7				768				2.3303
4K/Gears.jpg		7				960				2.7224
4K/Gears.jpg		9				48				12.3885
4K/Gears.jpg		9				96				9.8626
4K/Gears.jpg		9				192				6.5705
4K/Gears.jpg		9				384				5.0055
4K/Gears.jpg		9				576				3.9321
4K/Gears.jpg		9				768				3.4311
4K/Gears.jpg		9				960				4.0819
4K/Gears.jpg		11				48				17.8748
4K/Gears.jpg		11				96				14.2722
4K/Gears.jpg		11				192				9.3409
4K/Gears.jpg		11				384				7.1221
4K/Gears.jpg		11				576				5.5423
4K/Gears.jpg		11				768				4.7957
4K/Gears.jpg		11				960				5.7688
4K/Gears.jpg		13				48				24.7528
4K/Gears.jpg		13				96				19.4799
4K/Gears.jpg		13				192				12.5616
4K/Gears.jpg		13				384				9.6544
4K/Gears.jpg		13				576				7.4650
4K/Gears.jpg		13				768				6.4247
4K/Gears.jpg		13				960				7.7928
4K/Gears.jpg		15				48				32.9154
4K/Gears.jpg		15				96				25.4921
4K/Gears.jpg		15				192				16.3398
4K/Gears.jpg		15				384				12.6119
4K/Gears.jpg		15				576				9.7168
4K/Gears.jpg		15				768				8.3359
4K/Gears.jpg		15				960				10.1720
4K/Girl.jpg		3				48				2.3013
4K/Girl.jpg		3				96				1.9059
4K/Girl.jpg		3				192				1.4207
4K/Girl.jpg		3				384				1.1164
4K/Girl.jpg		3				576				0.9707
4K/Girl.jpg		3				768				0.9070
4K/Girl.jpg		3				960				0.9768
4K/Girl.jpg		5				48				4.5955
4K/Girl.jpg		5				96				3.6842
4K/Girl.jpg		5				192				2.5775
4K/Girl.jpg		5				384				1.9695
4K/Girl.jpg		5				576				1.6122
4K/Girl.jpg		5				768				1.4468
4K/Girl.jpg		5				960				1.6452
4K/Girl.jpg		7				48				7.9369
4K/Girl.jpg		7				96				6.2800
4K/Girl.jpg		7				192				4.2673
4K/Girl.jpg		7				384				3.2398
4K/Girl.jpg		7				576				2.5854
4K/Girl.jpg		7				768				2.2638
4K/Girl.jpg		7				960				2.6562
