File 			 Kernel 			 Threads 			 Time(s)
720p/clockworkorange.jpg		3				1				0.2136
720p/clockworkorange.jpg		3				2				0.1098
720p/clockworkorange.jpg		3				4				0.0605
720p/clockworkorange.jpg		3				8				0.0559
720p/clockworkorange.jpg		3				16				0.0615
720p/clockworkorange.jpg		5				1				0.5019
720p/clockworkorange.jpg		5				2				0.2527
720p/clockworkorange.jpg		5				4				0.2372
720p/clockworkorange.jpg		5				8				0.1285
720p/clockworkorange.jpg		5				16				0.1369
720p/clockworkorange.jpg		7				1				0.9230
720p/clockworkorange.jpg		7				2				0.5086
720p/clockworkorange.jpg		7				4				0.2477
720p/clockworkorange.jpg		7				8				0.2331
720p/clockworkorange.jpg		7				16				0.2362
720p/clockworkorange.jpg		9				1				1.5636
720p/clockworkorange.jpg		9				2				0.7862
720p/clockworkorange.jpg		9				4				0.4205
720p/clockworkorange.jpg		9				8				0.3803
720p/clockworkorange.jpg		9				16				0.3990
720p/clockworkorange.jpg		11				1				2.2999
720p/clockworkorange.jpg		11				2				1.1647
720p/clockworkorange.jpg		11				4				0.6123
720p/clockworkorange.jpg		11				8				0.5646
720p/clockworkorange.jpg		11				16				0.5639
720p/clockworkorange.jpg		13				1				3.1699
720p/clockworkorange.jpg		13				2				1.5872
720p/clockworkorange.jpg		13				4				0.8727
720p/clockworkorange.jpg		13				8				0.8206
720p/clockworkorange.jpg		13				16				0.8179
720p/clockworkorange.jpg		15				1				4.3475
720p/clockworkorange.jpg		15				2				2.2483
720p/clockworkorange.jpg		15				4				1.1160
720p/clockworkorange.jpg		15				8				1.0291
720p/clockworkorange.jpg		15				16				1.0549
720p/Empire_Strikes_Back.jpg		3				1				0.2218
720p/Empire_Strikes_Back.jpg		3				2				0.1285
720p/Empire_Strikes_Back.jpg		3				4				0.0673
720p/Empire_Strikes_Back.jpg		3				8				0.0653
720p/Empire_Strikes_Back.jpg		3				16				0.0652
720p/Empire_Strikes_Back.jpg		5				1				0.5052
720p/Empire_Strikes_Back.jpg		5				2				0.2579
720p/Empire_Strikes_Back.jpg		5				4				0.2434
720p/Empire_Strikes_Back.jpg		5				8				0.1323
720p/Empire_Strikes_Back.jpg		5				16				0.1341
720p/Empire_Strikes_Back.jpg		7				1				0.9283
720p/Empire_Strikes_Back.jpg		7				2				0.4701
720p/Empire_Strikes_Back.jpg		7				4				0.4464
720p/Empire_Strikes_Back.jpg		7				8				0.2485
720p/Empire_Strikes_Back.jpg		7				16				0.2822
720p/Empire_Strikes_Back.jpg		9				1				1.5893
720p/Empire_Strikes_Back.jpg		9				2				0.8011
720p/Empire_Strikes_Back.jpg		9				4				0.4300
720p/Empire_Strikes_Back.jpg		9				8				0.3914
720p/Empire_Strikes_Back.jpg		9				16				0.3989
720p/Empire_Strikes_Back.jpg		11				1				2.3136
720p/Empire_Strikes_Back.jpg		11				2				1.1889
720p/Empire_Strikes_Back.jpg		11				4				1.0771
720p/Empire_Strikes_Back.jpg		11				8				0.5733
720p/Empire_Strikes_Back.jpg		11				16				0.5923
720p/Empire_Strikes_Back.jpg		13				1				3.1901
720p/Empire_Strikes_Back.jpg		13				2				1.5987
720p/Empire_Strikes_Back.jpg		13				4				1.4855
720p/Empire_Strikes_Back.jpg		13				8				0.7889
720p/Empire_Strikes_Back.jpg		13				16				0.7970
720p/Empire_Strikes_Back.jpg		15				1				4.1878
720p/Empire_Strikes_Back.jpg		15				2				2.1104
720p/Empire_Strikes_Back.jpg		15				4				1.1459
720p/Empire_Strikes_Back.jpg		15				8				1.0267
720p/Empire_Strikes_Back.jpg		15				16				1.0706
720p/gorillaz.jpg		3				1				0.2159
720p/gorillaz.jpg		3				2				0.1129
720p/gorillaz.jpg		3				4				0.0620
720p/gorillaz.jpg		3				8				0.0593
720p/gorillaz.jpg		3				16				0.0619
720p/gorillaz.jpg		5				1				0.5076
720p/gorillaz.jpg		5				2				0.2522
720p/gorillaz.jpg		5				4				0.1367
720p/gorillaz.jpg		5				8				0.1345
720p/gorillaz.jpg		5				16				0.1359
720p/gorillaz.jpg		7				1				0.9328
720p/gorillaz.jpg		7				2				0.4652
720p/gorillaz.jpg		7				4				0.4402
720p/gorillaz.jpg		7				8				0.2444
720p/gorillaz.jpg		7				16				0.2547
720p/gorillaz.jpg		9				1				1.5838
720p/gorillaz.jpg		9				2				0.7904
720p/gorillaz.jpg		9				4				0.6405
720p/gorillaz.jpg		9				8				0.3931
720p/gorillaz.jpg		9				16				0.3957
720p/gorillaz.jpg		11				1				2.3092
720p/gorillaz.jpg		11				2				1.1623
720p/gorillaz.jpg		11				4				0.6271
720p/gorillaz.jpg		11				8				0.5612
720p/gorillaz.jpg		11				16				0.5835
720p/gorillaz.jpg		13				1				3.1708
720p/gorillaz.jpg		13				2				1.5868
720p/gorillaz.jpg		13				4				0.8375
720p/gorillaz.jpg		13				8				0.7754
720p/gorillaz.jpg		13				16				0.8198
720p/gorillaz.jpg		15				1				4.1650
720p/gorillaz.jpg		15				2				2.0910
720p/gorillaz.jpg		15				4				1.9523
720p/gorillaz.jpg		15				8				1.0190
720p/gorillaz.jpg		15				16				1.0296
720p/Hobbit.jpg		3				1				0.2239
720p/Hobbit.jpg		3				2				0.1209
720p/Hobbit.jpg		3				4				0.0714
720p/Hobbit.jpg		3				8				0.0713
720p/Hobbit.jpg		3				16				0.0723
720p/Hobbit.jpg		5				1				0.5085
