File 			 Kernel 			 Threads 			 Time(s)
1080p/ACDC.jpg		3				1				0.4861
1080p/ACDC.jpg		3				2				0.2448
1080p/ACDC.jpg		3				4				0.2282
1080p/ACDC.jpg		3				8				0.1240
1080p/ACDC.jpg		3				16				0.1348
1080p/ACDC.jpg		5				1				1.1283
1080p/ACDC.jpg		5				2				0.5725
1080p/ACDC.jpg		5				4				0.3134
1080p/ACDC.jpg		5				8				0.2817
1080p/ACDC.jpg		5				16				0.2974
1080p/ACDC.jpg		7				1				2.3148
1080p/ACDC.jpg		7				2				1.0517
1080p/ACDC.jpg		7				4				0.9817
1080p/ACDC.jpg		7				8				0.5143
1080p/ACDC.jpg		7				16				0.5251
1080p/ACDC.jpg		9				1				3.5349
1080p/ACDC.jpg		9				2				1.7696
1080p/ACDC.jpg		9				4				1.6193
1080p/ACDC.jpg		9				8				0.8483
1080p/ACDC.jpg		9				16				0.8660
1080p/ACDC.jpg		11				1				5.2304
1080p/ACDC.jpg		11				2				2.6119
1080p/ACDC.jpg		11				4				1.7936
1080p/ACDC.jpg		11				8				1.2407
1080p/ACDC.jpg		11				16				1.2833
1080p/ACDC.jpg		13				1				7.1151
1080p/ACDC.jpg		13				2				3.5744
1080p/ACDC.jpg		13				4				3.2858
1080p/ACDC.jpg		13				8				1.7122
1080p/ACDC.jpg		13				16				1.7547
1080p/ACDC.jpg		15				1				9.4404
1080p/ACDC.jpg		15				2				4.8059
1080p/ACDC.jpg		15				4				2.8044
1080p/ACDC.jpg		15				8				2.2596
1080p/ACDC.jpg		15				16				2.2974
1080p/Aragorn.jpg		3				1				0.4876
1080p/Aragorn.jpg		3				2				0.2481
1080p/Aragorn.jpg		3				4				0.2299
1080p/Aragorn.jpg		3				8				0.1273
1080p/Aragorn.jpg		3				16				0.1390
1080p/Aragorn.jpg		5				1				1.1333
1080p/Aragorn.jpg		5				2				0.5707
1080p/Aragorn.jpg		5				4				0.5327
1080p/Aragorn.jpg		5				8				0.2830
1080p/Aragorn.jpg		5				16				0.2939
1080p/Aragorn.jpg		7				1				2.1061
1080p/Aragorn.jpg		7				2				1.0491
1080p/Aragorn.jpg		7				4				0.9809
1080p/Aragorn.jpg		7				8				0.5161
1080p/Aragorn.jpg		7				16				0.5428
1080p/Aragorn.jpg		9				1				3.4989
1080p/Aragorn.jpg		9				2				1.8267
1080p/Aragorn.jpg		9				4				1.6096
1080p/Aragorn.jpg		9				8				0.8930
1080p/Aragorn.jpg		9				16				0.8725
1080p/Aragorn.jpg		11				1				5.2365
1080p/Aragorn.jpg		11				2				2.6098
1080p/Aragorn.jpg		11				4				2.3794
1080p/Aragorn.jpg		11				8				1.2424
1080p/Aragorn.jpg		11				16				1.2572
1080p/Aragorn.jpg		13				1				7.1534
1080p/Aragorn.jpg		13				2				3.6192
1080p/Aragorn.jpg		13				4				3.2889
1080p/Aragorn.jpg		13				8				1.7132
1080p/Aragorn.jpg		13				16				1.7497
1080p/Aragorn.jpg		15				1				9.4544
1080p/Aragorn.jpg		15				2				4.7333
1080p/Aragorn.jpg		15				4				4.3451
1080p/Aragorn.jpg		15				8				2.2612
1080p/Aragorn.jpg		15				16				2.2966
1080p/Bird1080.jpg		3				1				0.4876
1080p/Bird1080.jpg		3				2				0.2474
1080p/Bird1080.jpg		3				4				0.2322
1080p/Bird1080.jpg		3				8				0.1246
1080p/Bird1080.jpg		3				16				0.1335
1080p/Bird1080.jpg		5				1				1.1310
1080p/Bird1080.jpg		5				2				0.5711
1080p/Bird1080.jpg		5				4				0.5322
1080p/Bird1080.jpg		5				8				0.2819
1080p/Bird1080.jpg		5				16				0.2900
1080p/Bird1080.jpg		7				1				2.0893
1080p/Bird1080.jpg		7				2				1.0514
1080p/Bird1080.jpg		7				4				1.0373
1080p/Bird1080.jpg		7				8				0.5159
1080p/Bird1080.jpg		7				16				0.5296
1080p/Bird1080.jpg		9				1				3.5014
1080p/Bird1080.jpg		9				2				1.8262
1080p/Bird1080.jpg		9				4				1.6214
1080p/Bird1080.jpg		9				8				0.8941
1080p/Bird1080.jpg		9				16				0.8621
1080p/Bird1080.jpg		11				1				5.1749
1080p/Bird1080.jpg		11				2				2.6113
1080p/Bird1080.jpg		11				4				1.3785
1080p/Bird1080.jpg		11				8				1.2413
1080p/Bird1080.jpg		11				16				1.3352
1080p/Bird1080.jpg		13				1				7.1155
1080p/Bird1080.jpg		13				2				3.5909
1080p/Bird1080.jpg		13				4				3.2876
1080p/Bird1080.jpg		13				8				1.7121
1080p/Bird1080.jpg		13				16				1.7523
1080p/Bird1080.jpg		15				1				9.4667
1080p/Bird1080.jpg		15				2				4.7717
1080p/Bird1080.jpg		15				4				4.3397
1080p/Bird1080.jpg		15				8				2.2745
1080p/Bird1080.jpg		15				16				2.3128
1080p/Breakingbad1080.jpg		3				1				0.4933
1080p/Breakingbad1080.jpg		3				2				0.2544
1080p/Breakingbad1080.jpg		3				4				0.2363
1080p/Breakingbad1080.jpg		3				8				0.1309
1080p/Breakingbad1080.jpg		3				16				0.1406
1080p/Breakingbad1080.jpg		5				1				1.1351
1080p/Breakingbad1080.jpg		5				2				0.5773
1080p/Breakingbad1080.jpg		5				4				0.3210
1080p/Breakingbad1080.jpg		5				8				0.2883
1080p/Breakingbad1080.jpg		5				16				0.3115
1080p/Breakingbad1080.jpg		7				1				2.0967
1080p/Breakingbad1080.jpg		7				2				1.0528
1080p/Breakingbad1080.jpg		7				4				0.9837
1080p/Breakingbad1080.jpg		7				8				0.5199
1080p/Breakingbad1080.jpg		7				16				0.5649
1080p/Breakingbad1080.jpg		9				1				3.5623
1080p/Breakingbad1080.jpg		9				2				1.8676
1080p/Breakingbad1080.jpg		9				4				1.6249
1080p/Breakingbad1080.jpg		9				8				0.8541
1080p/Breakingbad1080.jpg		9				16				0.8847
1080p/Breakingbad1080.jpg		11				1				5.2036
1080p/Breakingbad1080.jpg		11				2				2.6190
1080p/Breakingbad1080.jpg		11				4				2.3878
1080p/Breakingbad1080.jpg		11				8				1.2502
1080p/Breakingbad1080.jpg		11				16				1.2589
1080p/Breakingbad1080.jpg		13				1				7.1821
1080p/Breakingbad1080.jpg		13				2				3.6570
1080p/Breakingbad1080.jpg		13				4				3.4811
1080p/Breakingbad1080.jpg		13				8				1.7187
1080p/Breakingbad1080.jpg		13				16				1.7751
1080p/Breakingbad1080.jpg		15				1				9.4428
1080p/Breakingbad1080.jpg		15				2				4.8029
1080p/Breakingbad1080.jpg		15				4				2.5008
1080p/Breakingbad1080.jpg		15				8				2.2667
1080p/Breakingbad1080.jpg		15				16				2.3087
1080p/Fiction1080.jpg		3				1				0.5343
1080p/Fiction1080.jpg		3				2				0.2541
1080p/Fiction1080.jpg		3				4				0.2087
1080p/Fiction1080.jpg		3				8				0.1332
1080p/Fiction1080.jpg		3				16				0.1468
1080p/Fiction1080.jpg		5				1				1.1417
1080p/Fiction1080.jpg		5				2				0.5800
1080p/Fiction1080.jpg		5				4				0.5420
1080p/Fiction1080.jpg		5				8				0.2893
1080p/Fiction1080.jpg		5				16				0.3081
1080p/Fiction1080.jpg		7				1				2.1002
1080p/Fiction1080.jpg		7				2				1.0547
1080p/Fiction1080.jpg		7				4				0.9875
1080p/Fiction1080.jpg		7				8				0.5234
1080p/Fiction1080.jpg		7				16				0.5325
1080p/Fiction1080.jpg		9				1				3.6029
1080p/Fiction1080.jpg		9				2				1.7639
1080p/Fiction1080.jpg		9				4				1.6275
1080p/Fiction1080.jpg		9				8				0.8568
1080p/Fiction1080.jpg		9				16				0.8672
1080p/Fiction1080.jpg		11				1				5.2071
1080p/Fiction1080.jpg		11				2				2.7254
1080p/Fiction1080.jpg		11				4				1.3973
1080p/Fiction1080.jpg		11				8				1.2516
1080p/Fiction1080.jpg		11				16				1.2831
1080p/Fiction1080.jpg		13				1				7.1620
1080p/Fiction1080.jpg		13				2				3.8030
1080p/Fiction1080.jpg		13				4				3.2878
1080p/Fiction1080.jpg		13				8				1.7205
1080p/Fiction1080.jpg		13				16				1.7701
1080p/Fiction1080.jpg		15				1				9.4750
1080p/Fiction1080.jpg		15				2				4.7345
1080p/Fiction1080.jpg		15				4				4.1623
1080p/Fiction1080.jpg		15				8				2.2695
1080p/Fiction1080.jpg		15				16				2.3764
1080p/GNR.jpg		3				1				0.4919
1080p/GNR.jpg		3				2				0.2542
1080p/GNR.jpg		3				4				0.2343
1080p/GNR.jpg		3				8				0.1306
1080p/GNR.jpg		3				16				0.1401
1080p/GNR.jpg		5				1				1.1331
1080p/GNR.jpg		5				2				0.5786
1080p/GNR.jpg		5				4				0.5261
1080p/GNR.jpg		5				8				0.3020
1080p/GNR.jpg		5				16				0.3225
1080p/GNR.jpg		7				1				2.1302
1080p/GNR.jpg		7				2				1.0521
1080p/GNR.jpg		7				4				0.9850
1080p/GNR.jpg		7				8				0.5193
1080p/GNR.jpg		7				16				0.5239
1080p/GNR.jpg		9				1				3.5045
1080p/GNR.jpg		9				2				1.7623
1080p/GNR.jpg		9				4				1.6254
1080p/GNR.jpg		9				8				0.8529
1080p/GNR.jpg		9				16				0.8736
1080p/GNR.jpg		11				1				5.2235
1080p/GNR.jpg		11				2				2.6226
1080p/GNR.jpg		11				4				2.3469
1080p/GNR.jpg		11				8				1.2477
1080p/GNR.jpg		11				16				1.2814
1080p/GNR.jpg		13				1				7.1504
1080p/GNR.jpg		13				2				3.5821
1080p/GNR.jpg		13				4				3.2778
1080p/GNR.jpg		13				8				1.8112
1080p/GNR.jpg		13				16				1.7435
1080p/GNR.jpg		15				1				9.4449
1080p/GNR.jpg		15				2				4.8359
1080p/GNR.jpg		15				4				2.5793
1080p/GNR.jpg		15				8				2.2664
1080p/GNR.jpg		15				16				2.2934
1080p/Man1080.jpg		3				1				0.4866
1080p/Man1080.jpg		3				2				0.2481
1080p/Man1080.jpg		3				4				0.2424
1080p/Man1080.jpg		3				8				0.1248
1080p/Man1080.jpg		3				16				0.1387
1080p/Man1080.jpg		5				1				1.1320
1080p/Man1080.jpg		5				2				0.5694
1080p/Man1080.jpg		5				4				0.5374
1080p/Man1080.jpg		5				8				0.2815
1080p/Man1080.jpg		5				16				0.2969
1080p/Man1080.jpg		7				1				2.0953
1080p/Man1080.jpg		7				2				1.0478
1080p/Man1080.jpg		7				4				0.9602
1080p/Man1080.jpg		7				8				0.5152
1080p/Man1080.jpg		7				16				0.5551
1080p/Man1080.jpg		9				1				3.8066
1080p/Man1080.jpg		9				2				1.7628
1080p/Man1080.jpg		9				4				1.6223
1080p/Man1080.jpg		9				8				0.8473
1080p/Man1080.jpg		9				16				0.8702
