File 			 Kernel 			 Threads 			 Time(s)
720p/clockworkorange.jpg		3				48				0.3890
720p/clockworkorange.jpg		3				96				0.3471
720p/clockworkorange.jpg		3				192				0.2894
720p/clockworkorange.jpg		3				384				0.2581
720p/clockworkorange.jpg		3				576				0.2574
720p/clockworkorange.jpg		3				768				0.2333
720p/clockworkorange.jpg		3				960				0.2421
720p/clockworkorange.jpg		5				48				0.6212
720p/clockworkorange.jpg		5				96				0.5392
720p/clockworkorange.jpg		5				192				0.4100
720p/clockworkorange.jpg		5				384				0.3541
720p/clockworkorange.jpg		5				576				0.3461
720p/clockworkorange.jpg		5				768				0.2913
720p/clockworkorange.jpg		5				960				0.3121
720p/clockworkorange.jpg		7				48				0.9705
720p/clockworkorange.jpg		7				96				0.8365
720p/clockworkorange.jpg		7				192				0.5821
720p/clockworkorange.jpg		7				384				0.4791
720p/clockworkorange.jpg		7				576				0.4785
720p/clockworkorange.jpg		7				768				0.3758
720p/clockworkorange.jpg		7				960				0.4164
720p/clockworkorange.jpg		9				48				1.4318
720p/clockworkorange.jpg		9				96				1.2033
720p/clockworkorange.jpg		9				192				0.8096
720p/clockworkorange.jpg		9				384				0.6557
720p/clockworkorange.jpg		9				576				0.6542
720p/clockworkorange.jpg		9				768				0.4872
720p/clockworkorange.jpg		9				960				0.5538
720p/clockworkorange.jpg		11				48				2.0163
720p/clockworkorange.jpg		11				96				1.6615
720p/clockworkorange.jpg		11				192				1.0923
720p/clockworkorange.jpg		11				384				0.8736
720p/clockworkorange.jpg		11				576				0.8738
720p/clockworkorange.jpg		11				768				0.6260
720p/clockworkorange.jpg		11				960				0.7270
720p/clockworkorange.jpg		13				48				2.7338
720p/clockworkorange.jpg		13				96				2.2118
720p/clockworkorange.jpg		13				192				1.4286
720p/clockworkorange.jpg		13				384				1.1387
720p/clockworkorange.jpg		13				576				1.1370
720p/clockworkorange.jpg		13				768				0.7938
720p/clockworkorange.jpg		13				960				0.9335
720p/clockworkorange.jpg		15				48				3.5701
720p/clockworkorange.jpg		15				96				2.8709
720p/clockworkorange.jpg		15				192				1.8213
720p/clockworkorange.jpg		15				384				1.4465
720p/clockworkorange.jpg		15				576				1.4428
