File 			 Kernel 			 Threads 			 Time(s)
1080p/ACDC.jpg		3				1				0.4750
1080p/ACDC.jpg		3				2				0.3180
1080p/ACDC.jpg		3				4				0.1340
1080p/ACDC.jpg		3				8				0.1307
1080p/ACDC.jpg		3				16				0.1317
1080p/ACDC.jpg		5				1				1.1164
1080p/ACDC.jpg		5				2				0.5631
1080p/ACDC.jpg		5				4				0.3016
1080p/ACDC.jpg		5				8				0.3032
1080p/ACDC.jpg		5				16				0.2960
1080p/ACDC.jpg		7				1				2.0698
1080p/ACDC.jpg		7				2				1.0438
1080p/ACDC.jpg		7				4				0.5556
1080p/ACDC.jpg		7				8				0.5212
1080p/ACDC.jpg		7				16				0.5285
1080p/ACDC.jpg		9				1				3.5210
1080p/ACDC.jpg		9				2				1.7723
1080p/ACDC.jpg		9				4				0.9387
1080p/ACDC.jpg		9				8				0.8561
1080p/ACDC.jpg		9				16				0.9005
1080p/ACDC.jpg		11				1				5.2341
1080p/ACDC.jpg		11				2				2.5960
1080p/ACDC.jpg		11				4				1.4017
1080p/ACDC.jpg		11				8				1.2561
1080p/ACDC.jpg		11				16				1.2853
1080p/ACDC.jpg		13				1				7.1086
1080p/ACDC.jpg		13				2				3.5795
1080p/ACDC.jpg		13				4				3.3186
1080p/ACDC.jpg		13				8				1.7353
1080p/ACDC.jpg		13				16				1.7597
1080p/ACDC.jpg		15				1				9.8142
1080p/ACDC.jpg		15				2				4.7087
1080p/ACDC.jpg		15				4				2.5095
1080p/ACDC.jpg		15				8				2.2888
1080p/ACDC.jpg		15				16				2.3189
1080p/Aragorn.jpg		3				1				0.4800
1080p/Aragorn.jpg		3				2				0.2464
1080p/Aragorn.jpg		3				4				0.1358
1080p/Aragorn.jpg		3				8				0.1296
1080p/Aragorn.jpg		3				16				0.1339
1080p/Aragorn.jpg		5				1				1.1158
1080p/Aragorn.jpg		5				2				0.6005
1080p/Aragorn.jpg		5				4				0.5336
1080p/Aragorn.jpg		5				8				0.2848
1080p/Aragorn.jpg		5				16				0.2879
1080p/Aragorn.jpg		7				1				2.0815
1080p/Aragorn.jpg		7				2				1.0438
1080p/Aragorn.jpg		7				4				0.9900
1080p/Aragorn.jpg		7				8				0.5249
1080p/Aragorn.jpg		7				16				0.5441
1080p/Aragorn.jpg		9				1				3.5219
1080p/Aragorn.jpg		9				2				1.7726
1080p/Aragorn.jpg		9				4				0.9375
1080p/Aragorn.jpg		9				8				0.8600
1080p/Aragorn.jpg		9				16				0.8641
1080p/Aragorn.jpg		11				1				5.1690
1080p/Aragorn.jpg		11				2				2.5976
1080p/Aragorn.jpg		11				4				1.3850
1080p/Aragorn.jpg		11				8				1.2568
1080p/Aragorn.jpg		11				16				1.2623
1080p/Aragorn.jpg		13				1				7.1062
1080p/Aragorn.jpg		13				2				3.6687
1080p/Aragorn.jpg		13				4				1.9462
1080p/Aragorn.jpg		13				8				1.7375
1080p/Aragorn.jpg		13				16				1.7585
1080p/Aragorn.jpg		15				1				9.6120
1080p/Aragorn.jpg		15				2				4.7110
1080p/Aragorn.jpg		15				4				4.0659
1080p/Aragorn.jpg		15				8				2.2957
1080p/Aragorn.jpg		15				16				2.3259
1080p/Bird1080.jpg		3				1				0.4815
1080p/Bird1080.jpg		3				2				0.2469
1080p/Bird1080.jpg		3				4				0.1351
1080p/Bird1080.jpg		3				8				0.1288
1080p/Bird1080.jpg		3				16				0.1443
1080p/Bird1080.jpg		5				1				1.1162
1080p/Bird1080.jpg		5				2				0.5676
1080p/Bird1080.jpg		5				4				0.3058
1080p/Bird1080.jpg		5				8				0.2870
1080p/Bird1080.jpg		5				16				0.3014
1080p/Bird1080.jpg		7				1				2.0693
1080p/Bird1080.jpg		7				2				1.0717
1080p/Bird1080.jpg		7				4				0.5556
