File 			 Kernel 			 Threads 			 Time(s)
4K/acdc.jpg		3				1				1.9143
4K/acdc.jpg		3				2				1.0986
4K/acdc.jpg		3				4				0.5334
4K/acdc.jpg		3				8				0.4876
4K/acdc.jpg		3				16				0.5019
4K/acdc.jpg		5				1				4.4839
4K/acdc.jpg		5				2				2.2537
4K/acdc.jpg		5				4				1.2549
4K/acdc.jpg		5				8				1.1233
4K/acdc.jpg		5				16				1.1354
4K/acdc.jpg		7				1				9.4959
4K/acdc.jpg		7				2				4.2881
4K/acdc.jpg		7				4				2.3486
4K/acdc.jpg		7				8				2.0719
4K/acdc.jpg		7				16				2.1146
4K/acdc.jpg		9				1				14.0306
4K/acdc.jpg		9				2				7.2372
4K/acdc.jpg		9				4				3.7792
4K/acdc.jpg		9				8				3.4126
4K/acdc.jpg		9				16				3.4240
4K/acdc.jpg		11				1				20.9114
4K/acdc.jpg		11				2				10.8872
4K/acdc.jpg		11				4				9.6184
4K/acdc.jpg		11				8				5.0075
4K/acdc.jpg		11				16				4.9771
4K/acdc.jpg		13				1				28.5209
4K/acdc.jpg		13				2				14.6234
4K/acdc.jpg		13				4				7.6576
4K/acdc.jpg		13				8				6.9080
4K/acdc.jpg		13				16				6.9269
4K/acdc.jpg		15				1				37.5218
4K/acdc.jpg		15				2				18.7611
4K/acdc.jpg		15				4				9.9637
4K/acdc.jpg		15				8				9.1331
4K/acdc.jpg		15				16				9.1492
4K/breakingbad.jpg		3				1				1.9182
4K/breakingbad.jpg		3				2				0.9876
4K/breakingbad.jpg		3				4				0.5633
4K/breakingbad.jpg		3				8				0.4961
4K/breakingbad.jpg		3				16				0.5325
4K/breakingbad.jpg		5				1				4.4669
4K/breakingbad.jpg		5				2				2.2644
4K/breakingbad.jpg		5				4				1.2609
4K/breakingbad.jpg		5				8				1.1306
4K/breakingbad.jpg		5				16				1.1426
4K/breakingbad.jpg		7				1				8.2863
4K/breakingbad.jpg		7				2				4.2203
4K/breakingbad.jpg		7				4				3.9505
4K/breakingbad.jpg		7				8				2.0811
4K/breakingbad.jpg		7				16				2.0951
4K/breakingbad.jpg		9				1				14.0633
4K/breakingbad.jpg		9				2				7.0628
4K/breakingbad.jpg		9				4				3.8878
4K/breakingbad.jpg		9				8				3.4220
4K/breakingbad.jpg		9				16				3.4058
4K/breakingbad.jpg		11				1				20.7285
4K/breakingbad.jpg		11				2				10.6546
4K/breakingbad.jpg		11				4				5.6931
4K/breakingbad.jpg		11				8				5.0174
4K/breakingbad.jpg		11				16				5.0022
4K/breakingbad.jpg		13				1				28.4309
4K/breakingbad.jpg		13				2				14.3956
4K/breakingbad.jpg		13				4				7.6242
4K/breakingbad.jpg		13				8				6.9262
4K/breakingbad.jpg		13				16				6.9067
4K/breakingbad.jpg		15				1				37.7253
4K/breakingbad.jpg		15				2				19.0616
4K/breakingbad.jpg		15				4				9.9967
4K/breakingbad.jpg		15				8				9.1470
4K/breakingbad.jpg		15				16				9.1092
4K/Enigma.jpg		3				1				2.0324
4K/Enigma.jpg		3				2				1.0566
4K/Enigma.jpg		3				4				0.5825
4K/Enigma.jpg		3				8				0.5375
4K/Enigma.jpg		3				16				0.5506
4K/Enigma.jpg		5				1				4.7685
4K/Enigma.jpg		5				2				2.4190
4K/Enigma.jpg		5				4				1.2995
4K/Enigma.jpg		5				8				1.2127
4K/Enigma.jpg		5				16				1.2309
4K/Enigma.jpg		7				1				9.1013
4K/Enigma.jpg		7				2				4.4686
4K/Enigma.jpg		7				4				2.3842
4K/Enigma.jpg		7				8				2.2257
4K/Enigma.jpg		7				16				2.2342
4K/Enigma.jpg		9				1				15.3143
4K/Enigma.jpg		9				2				7.6815
4K/Enigma.jpg		9				4				4.1319
4K/Enigma.jpg		9				8				3.7081
4K/Enigma.jpg		9				16				3.7416
4K/Enigma.jpg		11				1				22.5905
4K/Enigma.jpg		11				2				11.2704
4K/Enigma.jpg		11				4				6.0724
4K/Enigma.jpg		11				8				5.4363
4K/Enigma.jpg		11				16				5.4829
4K/Enigma.jpg		13				1				31.5252
4K/Enigma.jpg		13				2				15.8656
4K/Enigma.jpg		13				4				8.2255
4K/Enigma.jpg		13				8				7.5070
4K/Enigma.jpg		13				16				7.4916
4K/Enigma.jpg		15				1				40.8897
4K/Enigma.jpg		15				2				20.5798
4K/Enigma.jpg		15				4				10.9660
4K/Enigma.jpg		15				8				9.9114
4K/Enigma.jpg		15				16				9.8746
4K/Gears.jpg		3				1				2.1089
4K/Gears.jpg		3				2				1.1136
4K/Gears.jpg		3				4				0.6473
4K/Gears.jpg		3				8				0.5913
4K/Gears.jpg		3				16				0.6164
