File 			 Kernel 			 Threads 			 Time(s)
4K/acdc.jpg		3				1				1.9731
4K/acdc.jpg		3				2				1.0080
4K/acdc.jpg		3				4				0.9224
4K/acdc.jpg		3				8				0.4933
4K/acdc.jpg		3				16				0.5260
4K/acdc.jpg		5				1				4.5403
4K/acdc.jpg		5				2				2.2960
4K/acdc.jpg		5				4				2.1274
4K/acdc.jpg		5				8				1.1197
4K/acdc.jpg		5				16				1.1524
4K/acdc.jpg		7				1				8.4141
4K/acdc.jpg		7				2				4.2130
4K/acdc.jpg		7				4				2.4937
4K/acdc.jpg		7				8				2.0554
4K/acdc.jpg		7				16				2.0727
4K/acdc.jpg		9				1				14.6904
4K/acdc.jpg		9				2				7.4684
4K/acdc.jpg		9				4				5.2897
4K/acdc.jpg		9				8				3.5628
4K/acdc.jpg		9				16				3.4387
4K/acdc.jpg		11				1				20.8907
4K/acdc.jpg		11				2				10.3977
4K/acdc.jpg		11				4				7.0348
4K/acdc.jpg		11				8				4.9601
4K/acdc.jpg		11				16				4.9831
4K/acdc.jpg		13				1				28.4242
4K/acdc.jpg		13				2				14.4760
4K/acdc.jpg		13				4				9.0711
4K/acdc.jpg		13				8				7.0440
4K/acdc.jpg		13				16				6.8857
4K/acdc.jpg		15				1				37.7930
4K/acdc.jpg		15				2				18.9953
4K/acdc.jpg		15				4				17.3664
4K/acdc.jpg		15				8				9.0385
4K/acdc.jpg		15				16				9.0658
4K/breakingbad.jpg		3				1				1.9921
4K/breakingbad.jpg		3				2				1.0157
4K/breakingbad.jpg		3				4				0.9264
4K/breakingbad.jpg		3				8				0.5032
4K/breakingbad.jpg		3				16				0.5246
4K/breakingbad.jpg		5				1				4.5674
4K/breakingbad.jpg		5				2				2.3449
4K/breakingbad.jpg		5				4				2.1305
4K/breakingbad.jpg		5				8				1.1286
4K/breakingbad.jpg		5				16				1.1410
4K/breakingbad.jpg		7				1				8.4426
4K/breakingbad.jpg		7				2				4.4158
4K/breakingbad.jpg		7				4				4.1643
4K/breakingbad.jpg		7				8				2.0617
4K/breakingbad.jpg		7				16				2.0940
4K/breakingbad.jpg		9				1				14.0684
4K/breakingbad.jpg		9				2				7.4140
4K/breakingbad.jpg		9				4				3.8269
4K/breakingbad.jpg		9				8				3.3977
4K/breakingbad.jpg		9				16				3.4044
4K/breakingbad.jpg		11				1				20.7881
4K/breakingbad.jpg		11				2				10.3917
4K/breakingbad.jpg		11				4				9.5221
4K/breakingbad.jpg		11				8				4.9694
4K/breakingbad.jpg		11				16				5.0023
4K/breakingbad.jpg		13				1				28.4911
4K/breakingbad.jpg		13				2				14.2906
4K/breakingbad.jpg		13				4				13.1554
4K/breakingbad.jpg		13				8				7.0530
4K/breakingbad.jpg		13				16				6.8740
4K/breakingbad.jpg		15				1				38.4301
4K/breakingbad.jpg		15				2				18.9502
4K/breakingbad.jpg		15				4				10.0772
4K/breakingbad.jpg		15				8				9.0408
4K/breakingbad.jpg		15				16				9.0837
4K/Enigma.jpg		3				1				2.5079
4K/Enigma.jpg		3				2				1.2491
4K/Enigma.jpg		3				4				1.0141
4K/Enigma.jpg		3				8				0.5521
4K/Enigma.jpg		3				16				0.5776
4K/Enigma.jpg		5				1				5.2576
4K/Enigma.jpg		5				2				2.6388
4K/Enigma.jpg		5				4				2.2982
4K/Enigma.jpg		5				8				1.2358
4K/Enigma.jpg		5				16				1.2541
4K/Enigma.jpg		7				1				9.3386
4K/Enigma.jpg		7				2				4.7002
4K/Enigma.jpg		7				4				4.2743
4K/Enigma.jpg		7				8				2.3577
4K/Enigma.jpg		7				16				2.2338
4K/Enigma.jpg		9				1				15.6847
4K/Enigma.jpg		9				2				7.9432
4K/Enigma.jpg		9				4				4.6876
4K/Enigma.jpg		9				8				3.7276
4K/Enigma.jpg		9				16				3.7306
4K/Enigma.jpg		11				1				23.1335
4K/Enigma.jpg		11				2				11.5845
4K/Enigma.jpg		11				4				10.3368
4K/Enigma.jpg		11				8				5.4451
4K/Enigma.jpg		11				16				5.4185
4K/Enigma.jpg		13				1				31.5156
4K/Enigma.jpg		13				2				15.8876
4K/Enigma.jpg		13				4				8.4153
4K/Enigma.jpg		13				8				7.4940
4K/Enigma.jpg		13				16				7.4825
4K/Enigma.jpg		15				1				41.5966
4K/Enigma.jpg		15				2				21.0378
4K/Enigma.jpg		15				4				11.0670
4K/Enigma.jpg		15				8				9.8693
4K/Enigma.jpg		15				16				9.8246
4K/Gears.jpg		3				1				2.5849
4K/Gears.jpg		3				2				1.3101
4K/Gears.jpg		3				4				1.0684
4K/Gears.jpg		3				8				0.6074
4K/Gears.jpg		3				16				0.6203
4K/Gears.jpg		5				1				5.3205
4K/Gears.jpg		5				2				2.6865
4K/Gears.jpg		5				4				2.3604
4K/Gears.jpg		5				8				1.2880
4K/Gears.jpg		5				16				1.2943
4K/Gears.jpg		7				1				9.3884
4K/Gears.jpg		7				2				4.7558
4K/Gears.jpg		7				4				4.3085
4K/Gears.jpg		7				8				2.3195
4K/Gears.jpg		7				16				2.3046
4K/Gears.jpg		9				1				15.7491
4K/Gears.jpg		9				2				8.0194
4K/Gears.jpg		9				4				4.9206
4K/Gears.jpg		9				8				3.7946
4K/Gears.jpg		9				16				3.7627
4K/Gears.jpg		11				1				22.9460
4K/Gears.jpg		11				2				11.8786
4K/Gears.jpg		11				4				10.1496
4K/Gears.jpg		11				8				5.4963
4K/Gears.jpg		11				16				5.4662
4K/Gears.jpg		13				1				31.6084
4K/Gears.jpg		13				2				15.9407
4K/Gears.jpg		13				4				14.3419
4K/Gears.jpg		13				8				7.5593
4K/Gears.jpg		13				16				7.5141
4K/Gears.jpg		15				1				41.9267
4K/Gears.jpg		15				2				21.1143
4K/Gears.jpg		15				4				11.0669
4K/Gears.jpg		15				8				9.9343
4K/Gears.jpg		15				16				9.9063
4K/Girl.jpg		3				1				2.4986
4K/Girl.jpg		3				2				1.2658
4K/Girl.jpg		3				4				0.9954
4K/Girl.jpg		3				8				0.5435
4K/Girl.jpg		3				16				0.5467
4K/Girl.jpg		5				1				5.2491
4K/Girl.jpg		5				2				2.6424
4K/Girl.jpg		5				4				1.3562
4K/Girl.jpg		5				8				1.2208
4K/Girl.jpg		5				16				1.2440
4K/Girl.jpg		7				1				9.4058
4K/Girl.jpg		7				2				4.7006
4K/Girl.jpg		7				4				3.2120
4K/Girl.jpg		7				8				2.2476
4K/Girl.jpg		7				16				2.2396
4K/Girl.jpg		9				1				15.6786
4K/Girl.jpg		9				2				7.9216
4K/Girl.jpg		9				4				6.9386
4K/Girl.jpg		9				8				3.7164
4K/Girl.jpg		9				16				3.7008
4K/Girl.jpg		11				1				23.0193
4K/Girl.jpg		11				2				11.5862
4K/Girl.jpg		11				4				6.0988
4K/Girl.jpg		11				8				5.4358
4K/Girl.jpg		11				16				5.4075
4K/Girl.jpg		13				1				31.7961
4K/Girl.jpg		13				2				16.1047
4K/Girl.jpg		13				4				14.2340
4K/Girl.jpg		13				8				7.4848
4K/Girl.jpg		13				16				7.4316
4K/Girl.jpg		15				1				41.7468
4K/Girl.jpg		15				2				20.9021
4K/Girl.jpg		15				4				11.0285
4K/Girl.jpg		15				8				9.8576
4K/Girl.jpg		15				16				9.8899
4K/GoT4K.jpg		3				1				2.5808
4K/GoT4K.jpg		3				2				1.3458
4K/GoT4K.jpg		3				4				1.0988
4K/GoT4K.jpg		3				8				0.6403
4K/GoT4K.jpg		3				16				0.6485
4K/GoT4K.jpg		5				1				5.3225
4K/GoT4K.jpg		5				2				2.7353
4K/GoT4K.jpg		5				4				1.4556
4K/GoT4K.jpg		5				8				1.3254
4K/GoT4K.jpg		5				16				1.3689
4K/GoT4K.jpg		7				1				9.5000
4K/GoT4K.jpg		7				2				4.8191
4K/GoT4K.jpg		7				4				4.5817
4K/GoT4K.jpg		7				8				2.3524
4K/GoT4K.jpg		7				16				2.3439
4K/GoT4K.jpg		9				1				15.9461
4K/GoT4K.jpg		9				2				8.0593
