File 			 Kernel 			 Threads 			 Time(s)
720p/clockworkorange.jpg		3				1				0.2176
720p/clockworkorange.jpg		3				2				0.1117
720p/clockworkorange.jpg		3				4				0.1038
720p/clockworkorange.jpg		3				8				0.0589
720p/clockworkorange.jpg		3				16				0.0657
720p/clockworkorange.jpg		5				1				0.5081
720p/clockworkorange.jpg		5				2				0.2551
720p/clockworkorange.jpg		5				4				0.2376
720p/clockworkorange.jpg		5				8				0.1328
720p/clockworkorange.jpg		5				16				0.1357
720p/clockworkorange.jpg		7				1				0.9375
720p/clockworkorange.jpg		7				2				0.4681
720p/clockworkorange.jpg		7				4				0.2482
720p/clockworkorange.jpg		7				8				0.2298
720p/clockworkorange.jpg		7				16				0.2456
720p/clockworkorange.jpg		9				1				1.6156
720p/clockworkorange.jpg		9				2				0.7865
720p/clockworkorange.jpg		9				4				0.7627
720p/clockworkorange.jpg		9				8				0.3776
720p/clockworkorange.jpg		9				16				0.4026
720p/clockworkorange.jpg		11				1				2.3173
720p/clockworkorange.jpg		11				2				1.1577
720p/clockworkorange.jpg		11				4				0.8688
720p/clockworkorange.jpg		11				8				0.6366
720p/clockworkorange.jpg		11				16				0.5758
720p/clockworkorange.jpg		13				1				3.1812
720p/clockworkorange.jpg		13				2				1.5868
720p/clockworkorange.jpg		13				4				1.4689
720p/clockworkorange.jpg		13				8				0.8037
720p/clockworkorange.jpg		13				16				0.7994
720p/clockworkorange.jpg		15				1				4.2116
720p/clockworkorange.jpg		15				2				2.1205
720p/clockworkorange.jpg		15				4				1.1343
720p/clockworkorange.jpg		15				8				1.0083
720p/clockworkorange.jpg		15				16				1.0445
720p/Empire_Strikes_Back.jpg		3				1				0.2279
720p/Empire_Strikes_Back.jpg		3				2				0.1225
720p/Empire_Strikes_Back.jpg		3				4				0.0669
720p/Empire_Strikes_Back.jpg		3				8				0.0637
720p/Empire_Strikes_Back.jpg		3				16				0.0746
720p/Empire_Strikes_Back.jpg		5				1				0.5141
720p/Empire_Strikes_Back.jpg		5				2				0.2618
720p/Empire_Strikes_Back.jpg		5				4				0.2434
720p/Empire_Strikes_Back.jpg		5				8				0.1317
720p/Empire_Strikes_Back.jpg		5				16				0.1471
